id,model,task,repeat,arm,startedAt,status,passed,wallMs,startupMs,totalMs,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens,uncachedInputTokens,generations,jevCalls,jevFailures,jevUnknownUsage,jevInputTokens,jevOutputTokens,jevRequestMs,routerDecisions,routerDecisionMs,startChanges,nativeAppliedChanges,nativeRestores,preparedOutputs,evidenceOperations,recalls,hookSubmissions,knownAllModelTokens,budgetHeldDecisions,recommendedChanges,knownJevInputUsdEstimate,usageNotifications,duplicateUsageNotifications,firstInputTokens,historyGrowthTokens,commands,identicalCommandRepeats,observedToolSpanUnionMs,nativeCommandDurationUsable
gpt-6-astra-incident-0-bare,gpt-6-astra,incident,0,bare,2026-09-25T10:38:45.359Z,completed,True,56033,72,56105,110605,91136,1417,0,112022,19469,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112022,0,0,0.0,5,0,15262,34295,4,0,123.133,False
gpt-6-astra-incident-0-combined,gpt-6-astra,incident,0,combined,2026-09-25T10:39:41.544Z,completed,True,49440,273,49713,93000,33152,1318,0,94318,59848,4,4,0,0,7437,424,1498,4,1655,0,0,0,1,1,0,0,102179,0,0,0.00031235400000000004,4,0,16298,27808,3,0,135.077,False
gpt-6-astra-incident-1-combined,gpt-6-astra,incident,1,combined,2026-09-25T10:40:31.344Z,completed,True,50351,284,50635,92632,71552,1250,0,93882,21080,4,4,0,0,6980,424,1151,4,1309,0,0,0,1,1,0,0,101286,0,0,0.00029316000000000005,4,0,16289,27476,3,0,142.35,False
gpt-6-astra-incident-1-bare,gpt-6-astra,incident,1,bare,2026-09-25T10:41:22.069Z,completed,True,51046,71,51117,110443,91136,1308,0,111751,19307,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111751,0,0,0.0,5,0,15254,34173,4,0,124.467,False
