id,model,task,repeat,arm,startedAt,status,passed,wallMs,startupMs,totalMs,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens,uncachedInputTokens,generations,jevCalls,jevFailures,jevUnknownUsage,jevInputTokens,jevOutputTokens,jevRequestMs,routerDecisions,routerDecisionMs,startChanges,nativeAppliedChanges,nativeRestores,preparedOutputs,evidenceOperations,recalls,hookSubmissions,knownAllModelTokens,budgetHeldDecisions,recommendedChanges,knownJevInputUsdEstimate,usageNotifications,duplicateUsageNotifications,firstInputTokens,historyGrowthTokens,commands,identicalCommandRepeats,observedToolSpanUnionMs,nativeCommandDurationUsable
gpt-6-sol-cross_file-0-bare,gpt-6-sol,cross_file,0,bare,2026-09-25T04:58:26.386Z,completed,True,112723,71,112794,122730,108544,5299,1834,128029,14186,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128029,0,0,0.0,7,0,14698,19844,7,0,286.844,False
gpt-6-sol-cross_file-0-combined,gpt-6-sol,cross_file,0,combined,2026-09-25T05:00:19.317Z,completed,True,83754,252,84006,165617,123136,3685,753,169302,42481,9,6,0,0,10237,636,1911,6,2177,0,0,0,0,0,0,0,180175,0,0,0.000429954,9,0,15628,24965,10,2,370.073,False
gpt-6-sol-incident-0-combined,gpt-6-sol,incident,0,combined,2026-09-25T05:01:43.457Z,completed,True,46606,244,46850,158385,129536,1662,96,160047,28849,7,4,0,0,6737,424,1046,4,1208,0,1,0,0,0,0,0,167208,0,1,0.00028295400000000003,7,0,15740,48205,5,0,131.427,False
gpt-6-sol-incident-0-bare,gpt-6-sol,incident,0,bare,2026-09-25T05:02:30.391Z,completed,True,46600,70,46670,124960,107776,1985,301,126945,17184,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126945,0,0,0.0,6,0,14811,36094,5,0,120.326,False
gpt-6-sol-cross_file-1-combined,gpt-6-sol,cross_file,1,combined,2026-09-25T05:03:17.142Z,completed,True,103729,244,103973,185820,163840,3494,663,189314,21980,10,6,0,0,9240,636,2148,6,2415,0,1,0,0,0,0,0,199190,0,1,0.00038808000000000007,10,0,15624,29580,11,2,14304.762,False
gpt-6-sol-cross_file-1-bare,gpt-6-sol,cross_file,1,bare,2026-09-25T05:05:01.252Z,completed,True,115145,70,115215,202467,160000,4761,1534,207228,42467,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207228,0,0,0.0,11,0,14691,40866,11,2,402.224,False
gpt-6-sol-incident-1-bare,gpt-6-sol,incident,1,bare,2026-09-25T05:06:56.602Z,completed,True,39977,70,40047,108256,91264,1604,286,109860,16992,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109860,0,0,0.0,5,0,14812,34196,3,0,120.955,False
gpt-6-sol-incident-1-combined,gpt-6-sol,incident,1,combined,2026-09-25T05:07:36.727Z,completed,True,41160,249,41409,157687,121472,1421,109,159108,36215,7,4,0,0,6758,424,1248,4,1409,0,1,0,0,0,0,0,166290,0,1,0.00028383600000000004,7,0,15733,47556,5,0,132.01,False
