id,model,task,repeat,arm,startedAt,status,passed,wallMs,startupMs,totalMs,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens,uncachedInputTokens,generations,jevCalls,jevFailures,jevUnknownUsage,jevInputTokens,jevOutputTokens,jevRequestMs,routerDecisions,routerDecisionMs,startChanges,nativeAppliedChanges,nativeRestores,preparedOutputs,evidenceOperations,recalls,hookSubmissions,knownAllModelTokens,budgetHeldDecisions,recommendedChanges,knownJevInputUsdEstimate,usageNotifications,duplicateUsageNotifications,firstInputTokens,historyGrowthTokens,commands,identicalCommandRepeats,observedToolSpanUnionMs,nativeCommandDurationUsable
gpt-6-astra-cross_file-0-bare,gpt-6-astra,cross_file,0,bare,2026-09-25T09:07:26.250Z,completed,True,138718,71,138789,110941,96128,4126,390,115067,14813,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115067,0,0,0.0,6,0,15153,20023,7,0,341.681,False
gpt-6-astra-cross_file-0-combined,gpt-6-astra,cross_file,0,combined,2026-09-25T09:09:45.179Z,completed,True,212813,269,213082,135652,111616,5776,186,141428,24036,7,5,0,0,7717,530,2248,5,2456,0,1,0,0,0,0,0,149675,0,1,0.000324114,7,0,16073,23141,6,0,304.738,False
gpt-6-astra-incident-0-combined,gpt-6-astra,incident,0,combined,2026-09-25T09:13:18.394Z,completed,True,88852,251,89103,101773,77824,1499,18,103272,23949,5,9,0,0,58211,4385,3464,4,1328,0,0,0,1,1,0,0,165868,0,0,0.002444862,5,0,16278,20383,4,0,1430.209,False
gpt-6-astra-incident-0-bare,gpt-6-astra,incident,0,bare,2026-09-25T09:14:47.583Z,completed,True,56721,71,56792,110386,82176,1394,0,111780,28210,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111780,0,0,0.0,5,0,15255,34111,4,0,166.748,False
gpt-6-astra-cross_file-1-combined,gpt-6-astra,cross_file,1,combined,2026-09-25T09:15:44.455Z,completed,True,212150,263,212413,107765,69376,3683,142,111448,38389,6,5,0,0,8144,530,2083,5,2292,0,1,0,0,0,0,0,120122,0,1,0.000342048,7,1,16066,11369,5,0,306.034,False
gpt-6-astra-cross_file-1-bare,gpt-6-astra,cross_file,1,bare,2026-09-25T09:19:17.008Z,completed,True,132280,71,132351,104617,83584,3916,161,108533,21033,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108533,0,0,0.0,6,0,15162,13645,6,0,349.334,False
gpt-6-astra-incident-1-bare,gpt-6-astra,incident,1,bare,2026-09-25T09:21:29.506Z,completed,True,56297,93,56390,110587,82176,1487,0,112074,28411,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112074,0,0,0.0,5,0,15254,34317,4,0,195.99,False
gpt-6-astra-incident-1-combined,gpt-6-astra,incident,1,combined,2026-09-25T09:22:26.017Z,completed,True,58656,380,59036,123825,74368,1398,0,125223,49457,5,9,0,0,57383,4385,3617,4,1466,0,1,1,0,1,0,0,186991,0,1,0.002410086,5,0,16285,42400,5,0,1470.066,False
