id,model,task,repeat,arm,startedAt,status,passed,wallMs,startupMs,totalMs,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens,uncachedInputTokens,generations,jevCalls,jevFailures,jevUnknownUsage,jevInputTokens,jevOutputTokens,jevRequestMs,routerDecisions,routerDecisionMs,startChanges,nativeAppliedChanges,nativeRestores,preparedOutputs,evidenceOperations,recalls,hookSubmissions,knownAllModelTokens,budgetHeldDecisions,recommendedChanges,knownJevInputUsdEstimate,usageNotifications,duplicateUsageNotifications,firstInputTokens,historyGrowthTokens,commands,identicalCommandRepeats,observedToolSpanUnionMs,nativeCommandDurationUsable
gpt-6-astra-incident-0-bare,gpt-6-astra,incident,0,bare,2026-09-25T10:33:13.154Z,completed,True,56719,75,56794,110556,82304,1385,0,111941,28252,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111941,0,0,0.0,5,0,15262,34246,4,0,114.817,False
gpt-6-astra-incident-0-combined,gpt-6-astra,incident,0,combined,2026-09-25T10:34:10.022Z,completed,True,50044,273,50317,115980,73600,1305,0,117285,42380,4,4,0,0,7316,424,1615,4,1772,0,1,0,1,1,0,0,125025,0,1,0.000307272,4,0,16289,50824,2,0,140.355,False
gpt-6-astra-incident-1-combined,gpt-6-astra,incident,1,combined,2026-09-25T10:35:00.428Z,completed,True,45728,334,46062,115755,83200,1100,0,116855,32555,4,3,0,0,4478,318,860,3,964,0,0,0,1,1,0,0,121651,0,0,0.00018807600000000002,4,0,16287,50607,2,0,13.881,False
gpt-6-astra-incident-1-bare,gpt-6-astra,incident,1,bare,2026-09-25T10:35:46.578Z,completed,True,48499,73,48572,110463,91136,1272,0,111735,19327,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111735,0,0,0.0,5,0,15262,34153,4,0,125.467,False
